ua,lon,lat,uf,bioma,municipio,lote,data,impedimento,status_derivado,fontes
GO_345,-50.94033,-15.48021,GO,Cerrado,Itapirapuã,GO-03,2018/04/04 00:00:00,,medido_completo,ua|uso
GO_346,-50.76011,-15.48011,GO,Cerrado,Matrinchã,GO-03,2018/06/14 00:00:00,,medido_completo,ua|uso
GO_347,-50.58019,-15.47998,GO,Cerrado,Matrinchã,GO-03,2018/03/21 00:00:00,,medido_completo,ua|uso
GO_348,-50.40018,-15.47996,GO,Cerrado,Faina,GO-03,2018/03/20 00:00:00,,medido_completo,ua|uso
GO_349,-50.22066,-15.48011,GO,Cerrado,Faina,GO-01,2018/03/19 00:00:00,,medido_completo,ua|uso
GO_35,-48.60055,-13.32028,GO,Cerrado,Montividiu do Norte,GO-01,2018/05/10 00:00:00,,medido_completo,ua|uso
GO_350,-50.04011,-15.48,GO,Cerrado,Itapuranga,GO-01,2018/03/26 00:00:00,,medido_completo,ua|uso
GO_351,-49.86056,-15.48029,GO,Cerrado,Carmo do Rio Verde,GO-01,2018/04/18 00:00:00,,medido_completo,ua|uso
GO_352,-49.68016,-15.48005,GO,Cerrado,Uruana,GO-01,2018/04/10 00:00:00,,medido_completo,ua|uso
GO_353,-49.50058,-15.48001,GO,Cerrado,Rianápolis,GO-01,2018/04/07 00:00:00,,medido_completo,ua|uso
GO_354,-49.32047,-15.48005,GO,Cerrado,Santa Isabel,GO-01,2018/04/05 00:00:00,,medido_completo,ua|uso
GO_356,-48.96009,-15.48008,GO,Cerrado,Vila Propício,GO-01,2018/04/03 00:00:00,,medido_completo,ua|uso
GO_357,-48.78058,-15.47998,GO,Cerrado,Vila Propício,GO-01,2018/04/12 00:00:00,,medido_completo,ua|uso
GO_358,-48.60056,-15.48029,GO,Cerrado,Cocalzinho de Goiás,GO-01,2018/09/12 00:00:00,,medido_completo,ua|uso
GO_359,-48.42037,-15.48003,GO,Cerrado,Padre Bernardo,GO-01,2018/09/12 00:00:00,Solo pedregoso/ Cascalho,medido_completo,ua|uso
GO_36,-48.42009,-13.3201,GO,Cerrado,Minaçu,GO-01,2018/10/11 00:00:00,,medido_completo,ua|uso
GO_360,-48.24036,-15.48,GO,Cerrado,Padre Bernardo,GO-01,2018/09/13 00:00:00,,medido_completo,ua|uso
GO_361,-48.06022,-15.48014,GO,Cerrado,Padre Bernardo,GO-01,2018/09/11 00:00:00,,medido_completo,ua|uso
GO_362,-47.88055,-15.48027,GO,Cerrado,Planaltina,GO-01,2018/09/11 00:00:00,,medido_completo,ua|uso
GO_363,-47.70021,-15.47999,GO,Cerrado,Planaltina,GO-01,2018/06/14 00:00:00,,medido_completo,ua|uso
GO_365,-47.34033,-15.48002,GO,Cerrado,Formosa,GO-01,2018/06/15 00:00:00,,medido_completo,ua|uso
GO_366,-47.16071,-15.48022,GO,Cerrado,Formosa,GO-01,2018/06/12 00:00:00,,medido_completo,ua|uso
GO_367,-46.98026,-15.47996,GO,Cerrado,Formosa,GO-01,2018/06/11 00:00:00,,medido_completo,ua|uso
GO_368,-51.66008,-15.65993,GO,Cerrado,Montes Claros de Goiás,GO-03,2018/10/10 00:00:00,,medido_completo,ua|uso
GO_369,-51.48034,-15.65991,GO,Cerrado,Jussara,GO-03,2018/06/30 00:00:00,,medido_completo,ua|uso
GO_37,-48.24018,-13.32001,GO,Cerrado,Minaçu,GO-01,2018/10/09 00:00:00,,medido_completo,ua|uso
GO_370,-51.30005,-15.66012,GO,Cerrado,Santa Fé de Goiás,GO-03,2018/06/22 00:00:00,,medido_completo,ua|uso
GO_371,-51.12045,-15.65999,GO,Cerrado,Santa Fé de Goiás,GO-03,2018/06/22 00:00:00,,medido_completo,ua|uso
GO_372,-50.9403,-15.66,GO,Cerrado,Itapirapuã,GO-03,2018/03/29 00:00:00,,medido_completo,ua|uso
GO_374,-50.58037,-15.66003,GO,Cerrado,Goiás,GO-03,2018/04/02 00:00:00,,medido_completo,ua|uso
GO_375,-50.4005,-15.66006,GO,Cerrado,Goiás,GO-03,2018/04/17 00:00:00,,medido_completo,ua|uso
GO_376,-50.22027,-15.65997,GO,Cerrado,Goiás,GO-03,2018/03/23 00:00:00,,medido_completo,ua|uso
GO_377,-50.04027,-15.65996,GO,Cerrado,Guaraíta,GO-01,2018/04/05 00:00:00,,medido_completo,ua|uso
GO_378,-49.86051,-15.66014,GO,Cerrado,Itapuranga,GO-01,2018/04/23 00:00:00,,medido_completo,ua|uso
GO_379,-49.68021,-15.65995,GO,Cerrado,Uruana,GO-01,2018/04/09 00:00:00,,medido_completo,ua|uso
GO_38,-48.0608,-13.3204,GO,Cerrado,Cavalcante,GO-01,2018/10/09 00:00:00,,medido_completo,ua|uso
GO_380,-49.50046,-15.66003,GO,Cerrado,Jaraguá,GO-01,2018/04/09 00:00:00,,medido_completo,ua|uso
GO_381,-49.32047,-15.66003,GO,Cerrado,Jaraguá,GO-01,2018/04/16 00:00:00,,medido_completo,ua|uso
GO_382,-49.14017,-15.65999,GO,Cerrado,Pirenópolis,GO-01,2018/03/14 00:00:00,,medido_completo,ua|uso
GO_383,-48.96053,-15.66009,GO,Cerrado,Pirenópolis,GO-01,2018/03/15 00:00:00,muitas pedras,medido_completo,ua|uso
GO_384,-48.78002,-15.66009,GO,Cerrado,Cocalzinho de Goiás,GO-01,2018/03/09 00:00:00,Terreno Pedregoso,medido_completo,ua|uso
GO_385,-48.60053,-15.66017,GO,Cerrado,Cocalzinho de Goiás,GO-01,2018/03/08 00:00:00,,medido_completo,ua|uso
GO_386,-48.42016,-15.65996,GO,Cerrado,Cocalzinho de Goiás,GO-01,2018/09/13 00:00:00,,medido_completo,ua|uso
GO_388,-47.1606,-15.66031,GO,Cerrado,Formosa,,2018/11/07 00:00:00,,medido_biofisico,ua
GO_389,-46.98006,-15.65987,GO,Cerrado,Cabeceiras,GO-01,2018/06/11 00:00:00,,medido_completo,ua|uso
GO_39,-47.88036,-13.31996,GO,Cerrado,Cavalcante,GO-01,2018/10/22 00:00:00,,medido_completo,ua|uso
GO_390,-51.84039,-15.84003,GO,Cerrado,Montes Claros de Goiás,GO-03,2018/06/18 00:00:00,,medido_completo,ua|uso
GO_391,-51.6603,-15.83988,GO,Cerrado,Montes Claros de Goiás,GO-03,2018/06/19 00:00:00,,medido_completo,ua|uso
GO_392,-51.48024,-15.84013,GO,Cerrado,Montes Claros de Goiás,GO-03,2018/06/21 00:00:00,,medido_completo,ua|uso
GO_393,-51.30056,-15.84026,GO,Cerrado,Jussara,GO-03,2018/06/18 00:00:00,,medido_completo,ua|uso
GO_394,-51.12069,-15.84021,GO,Cerrado,Santa Fé de Goiás,GO-03,2018/06/28 00:00:00,,medido_completo,ua|uso
GO_395,-50.94022,-15.84001,GO,Cerrado,Jussara,GO-03,2018/03/19 00:00:00,,medido_completo,ua|uso
GO_396,-50.76063,-15.84009,GO,Cerrado,Itapirapuã,GO-03,2018/03/19 00:00:00,,medido_completo,ua|uso
GO_397,-50.58027,-15.83995,GO,Cerrado,Itapirapuã,GO-03,2018/03/20 00:00:00,,medido_completo,ua|uso
GO_398,-50.40002,-15.83998,GO,Cerrado,Goiás,GO-03,2018/03/26 00:00:00,,medido_completo,ua|uso
GO_399,-50.22031,-15.84011,GO,Cerrado,Goiás,GO-03,2018/04/02 00:00:00,,medido_completo,ua|uso
GO_4,-50.0406,-12.96028,GO,Cerrado,São Miguel do Araguaia,GO-03,2018/05/24 00:00:00,,medido_completo,ua|uso
GO_40,-47.52026,-13.31998,GO,Cerrado,Cavalcante,GO-01,2018/10/22 00:00:00,,medido_completo,ua|uso
GO_400,-50.04026,-15.84,GO,Cerrado,Goiás,GO-01,2018/04/04 00:00:00,,medido_completo,ua|uso
GO_401,-49.8601,-15.84014,GO,Cerrado,Goiás,GO-01,2018/04/09 00:00:00,,medido_completo,ua|uso
GO_402,-49.68013,-15.83995,GO,Cerrado,Itaguaru,GO-01,2018/04/10 00:00:00,,medido_completo,ua|uso
