tipo,codigo,nome,nome_norm,uf,area_ha,detalhe,sul,oeste,norte,leste
conservacao,0000.51.0472,PARQUE ESTADUAL SERRA AZUL,parque estadual serra azul,MT,11006.53,Parque · Estadual,-15.87708,-52.30451,-15.76065,-52.13968
conservacao,0000.41.0531,PARQUE ESTADUAL SERRA DA BAITACA,parque estadual serra da baitaca,PR,0.0,Parque · Estadual,-25.47492,-49.03671,-25.36728,-48.97176
conservacao,0000.31.1780,PARQUE ESTADUAL SERRA DA BOA ESPERANÇA,parque estadual serra da boa esperanca,MG,5882.36,Parque · Estadual,-21.02458,-45.70853,-20.88343,-45.60875
conservacao,0000.31.0410,PARQUE ESTADUAL SERRA DA CANDONGA,parque estadual serra da candonga,MG,3329.87,Parque · Estadual,-18.93245,-42.99828,-18.85816,-42.92468
conservacao,0000.13.1008,PARQUE ESTADUAL SERRA DO ARACÁ,parque estadual serra do araca,AM,1872735.34,Parque · Estadual,0.70888,-64.2298,2.234,-62.68301
conservacao,0000.26.3315,PARQUE ESTADUAL SERRA DO AREAL,parque estadual serra do areal,PE,1596.75,Parque · Estadual,-8.99933,-40.53717,-8.93731,-40.44406
conservacao,0000.31.0385,PARQUE ESTADUAL SERRA DO BRIGADEIRO,parque estadual serra do brigadeiro,MG,14969.57,Parque · Estadual,-20.89358,-42.54061,-20.53304,-42.32478
conservacao,0000.31.1762,PARQUE ESTADUAL SERRA DO INTENDENTE,parque estadual serra do intendente,MG,13512.11,Parque · Estadual,-19.15491,-43.68376,-18.92679,-43.51689
conservacao,0000.31.2619,PARQUE ESTADUAL SERRA DO OURO BRANCO,parque estadual serra do ouro branco,MG,7523.21,Parque · Estadual,-20.53576,-43.75118,-20.43014,-43.5951
conservacao,0000.31.0398,PARQUE ESTADUAL SERRA DO ROLA MOÇA,parque estadual serra do rola moca,MG,4102.17,Parque · Estadual,-20.08161,-44.0636,-20.00202,-43.96737
conservacao,0000.31.2613,PARQUE ESTADUAL SERRA DO SOBRADO,parque estadual serra do sobrado,MG,383.8,Parque · Estadual,-19.69079,-44.01317,-19.65883,-43.99338
conservacao,0000.11.0774,PARQUE ESTADUAL SERRA DOS REIS,parque estadual serra dos reis,RO,36438.57,Parque · Estadual,-12.38341,-64.0881,-12.16082,-63.75719
conservacao,0000.31.0393,PARQUE ESTADUAL SERRA NEGRA,parque estadual serra negra,MG,13106.16,Parque · Estadual,-18.07928,-42.95225,-17.96002,-42.69832
conservacao,0000.31.3808,PARQUE ESTADUAL SERRA NEGRA DA MANTIQUEIRA,parque estadual serra negra da mantiqueira,MG,4205.84,Parque · Estadual,-21.98086,-43.95424,-21.93254,-43.76247
conservacao,0000.31.0888,PARQUE ESTADUAL SERRA NOVA E TALHADO,parque estadual serra nova e talhado,MG,49855.63,Parque · Estadual,-15.99345,-42.86329,-15.47748,-42.72729
conservacao,0000.51.0448,PARQUE ESTADUAL SERRA RICARDO FRANCO,parque estadual serra ricardo franco,MT,157829.36,Parque · Estadual,-15.09211,-60.49223,-14.0726,-60.01532
conservacao,0000.51.0462,PARQUE ESTADUAL SERRA SANTA BÁRBARA,parque estadual serra santa barbara,MT,120430.89,Parque · Estadual,-16.10994,-59.58193,-15.52691,-59.17772
conservacao,0000.31.1781,PARQUE ESTADUAL SERRA VERDE,parque estadual serra verde,MG,142.09,Parque · Estadual,-19.79838,-43.96534,-19.77722,-43.94927
conservacao,0000.31.0403,PARQUE ESTADUAL SETE SALÕES,parque estadual sete saloes,MG,13922.13,Parque · Estadual,-19.38999,-41.46206,-19.20977,-41.25079
conservacao,0000.23.1930,PARQUE ESTADUAL SÍTIO FUNDÃO,parque estadual sitio fundao,CE,94.98,Parque · Estadual,-7.23893,-39.44662,-7.22985,-39.43224
conservacao,0000.13.1009,PARQUE ESTADUAL SUCUNDURI,parque estadual sucunduri,AM,796055.99,Parque · Estadual,-8.80303,-59.64318,-7.70128,-58.28567
conservacao,0000.13.1010,PARQUE ESTADUAL SUMAÚMA,parque estadual sumauma,AM,52.62,Parque · Estadual,-3.04154,-59.98426,-3.03065,-59.9765
conservacao,0000.51.0456,PARQUE ESTADUAL TUCUMÃ,parque estadual tucuma,MT,81009.81,Parque · Estadual,-9.01296,-61.40344,-8.79799,-60.98515
conservacao,0000.35.0826,PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA,parque estadual turistico do alto do ribeira,SP,35901.87,Parque · Estadual,-24.64242,-48.73852,-24.27954,-48.45464
conservacao,0000.41.1576,PARQUE ESTADUAL VALE DO CÓDO,parque estadual vale do codo,PR,863.25,Parque · Estadual,-24.35742,-49.71166,-24.25771,-49.66973
